id;host_id;host_name;neighbourhood_cleansed;property_type;price;availability_365;number_of_reviews;review_scores_rating
33234450;250243520;Miguel;Alcúdia;Entire rental unit;89;143;104;4,98
33234888;65697804;Ideal Property Mallorca;Alcúdia;Entire home;89;328;18;4,67
33235143;250245102;Esnigulet Homes;Manacor;Entire home;222;299;41;4,98
33236693;4985887;Mallorca House Rent;Felanitx;Entire villa;249;99;10;4,9
33244271;205499549;Holidu;Son Servera;Entire villa;237;343;7;5
33923783;31606097;Antonio;Santanyí;Entire rental unit;45;44;83;4,51
33926912;12929063;Jaume;Deyá;Private room in home;171;89;7;5
33930099;205499549;Holidu;Llucmajor;Entire villa;155;365;6;4,83
33630685;205499549;Holidu;Artà;Entire villa;305;337;17;4,82
33632217;205499549;Holidu;Sa Pobla;Entire home;149;362;4;4,5
33634196;76875955;Team FiveStarsHome;Valldemossa;Entire cottage;293;179;9;4,11
33634199;76875955;Team FiveStarsHome;Valldemossa;Entire cottage;363;169;4;5
33652380;110261161;Julius;Calvià;Entire home;410;362;12;4,67
33655352;253569172;Barbara;Artà;Entire rental unit;86;334;94;4,23
33660641;3207615;Panchorentals . Es;Llucmajor;Entire home;237;16;1;4
33930170;205499549;Holidu;Llucmajor;Entire rental unit;115;354;17;4,94
33930744;205499549;Holidu;Llucmajor;Entire home;142;365;3;5
33932161;255956742;Xisco;Son Servera;Entire rental unit;45;98;16;4,81
33949708;205499549;Holidu;Son Servera;Entire home;235;352;4;4,75
33953559;205499549;Holidu;Palma de Mallorca;Entire home;191;362;17;4,71
33956384;100369580;Bernat;Pollença;Entire rental unit;338;169;5;4,6
33959703;9513250;Annie;Sóller;Entire rental unit;195;51;15;4,87
33679895;253854307;Jaume I Margalida;Palma de Mallorca;Entire villa;180;231;15;4,8
33685687;253907757;Casal De Petra;Petra;Room in boutique hotel;81;365;89;4,49
33695007;80839530;Homerti;Sa Pobla;Entire home;189;160;8;4,38
33695018;80839530;Homerti;Selva;Entire home;220;181;29;4,66
33701985;254040545;Finca Mia Limón;Algaida;Entire home;340;306;33;4,7
33713891;56334120;Patrick;Deyá;Entire villa;335;349;2;5
34220670;29690474;Miguel;Sant Llorenç des Cardassar;Entire rental unit;150;130;16;4,75
34221853;251737281;Claudio;Santa Margalida;Private room in rental unit;55;296;113;4,68
33244418;205499549;Holidu;Son Servera;Entire villa;158;357;14;4,57
33311110;18414347;Xavi;Calvià;Entire condo;50;61;15;4,6
33312278;250923999;Jesús;Santa María del Camí;Entire villa;190;267;61;4,75
33322141;36937646;Romy;Son Servera;Entire rental unit;62;169;61;4,84
33322840;36937646;Romy;Son Servera;Entire rental unit;52;251;58;4,81
33339214;116987080;Noemí;Sencelles;Entire cottage;495;229;28;4,79
33353375;80839530;Homerti;Pollença;Entire villa;384;66;11;4,64
33353382;80839530;Homerti;Inca;Entire home;293;259;15;4,47
33960670;82018579;Juan;Son Servera;Entire rental unit;100;171;39;5
33981350;108518817;Miguel;Fornalutx;Entire home;590;80;25;4,92
33982811;108518817;Miguel;Sóller;Entire villa;500;270;24;4,79
33994431;122491844;Sealand Villas;Pollença;Entire villa;289;100;22;4,73
34237733;49646488;Carlos;Pollença;Entire vacation home;124;204;85;4,98
34240844;258511796;Robert;Alaró;Entire home;185;174;53;4,89
34249388;150534601;Florencia;Manacor;Entire rental unit;219;15;3;4,67
34251415;150534601;Florencia;Manacor;Entire rental unit;219;1;0;3,835
34266225;245569969;Anna;Sóller;Entire villa;450;291;12;4,83
34268885;156144596;Mallorca Villa Selection;Capdepera;Entire townhouse;124;196;9;4,78
34269209;99613016;Toni;Manacor;Entire cottage;259;227;9;4,89
34272983;258157820;Simone;Capdepera;Entire rental unit;87;350;39;4,69
34274457;258707606;Guillermo;Sineu;Entire villa;237;226;57;4,96
34007181;31606097;Antonio;Santanyí;Entire rental unit;60;54;57;4,67
34571246;104655996;Cristina;Pollença;Entire rental unit;80;1;3;4,67
34582335;22047976;Mathias;Campos;Entire townhouse;114;271;20;4,85
34583521;80839530;Homerti;Muro;Entire home;322;274;17;4,06
34584654;95068913;Sebastian;Artà;Entire home;199;334;8;4,63
34587070;100756477;Morgan And Morgan;Sa Pobla;Entire villa;242;363;9;4,89
34587869;205499549;Holidu;Sencelles;Entire villa;360;321;26;4,96
34593736;245708611;YourHouse;Santa Margalida;Entire rental unit;99;228;44;4,32
